Date,Open,Close,High,Low,Volume,Amount,Amplitude,PctChg,Change,Turnover
2024-06-04,40.29,40.05,40.48,39.49,267803,1082572585.00,2.46,-0.55,-0.22,1.84
2024-06-05,40.09,39.42,40.38,39.36,232705,940697879.00,2.55,-1.57,-0.63,1.60
2024-06-06,39.76,39.68,40.94,39.43,468422,1894320564.00,3.83,0.66,0.26,3.22
2024-06-07,39.72,38.51,39.78,38.14,451072,1760303194.00,4.13,-2.95,-1.17,3.10
2024-06-11,38.39,39.65,39.74,38.16,396550,1569396106.00,4.10,2.96,1.14,2.73
2024-06-12,39.53,39.95,40.31,39.45,283448,1141348687.00,2.17,0.76,0.30,1.95
2024-06-13,39.95,40.50,41.07,39.95,380984,1558127257.00,2.80,1.38,0.55,2.62
2024-06-14,40.21,41.92,42.16,40.18,578391,2414482719.00,4.89,3.51,1.42,3.98
2024-06-17,41.84,41.41,41.86,41.08,354874,1483118397.00,1.86,-1.22,-0.51,2.44
2024-06-18,41.24,42.35,43.16,41.17,490593,2098045418.00,4.81,2.27,0.94,3.37
2024-06-19,42.40,42.18,43.31,42.18,431984,1857837927.00,2.67,-0.40,-0.17,2.97
2024-06-20,41.70,40.63,41.71,40.62,402184,1663616433.00,2.58,-3.67,-1.55,2.77
2024-06-21,40.20,40.92,41.09,39.78,262076,1070828741.00,3.22,0.71,0.29,1.80
2024-06-24,40.66,39.42,40.87,39.31,266520,1077368111.00,3.81,-3.67,-1.50,1.83
2024-06-25,39.46,38.15,39.53,37.67,326724,1269020650.00,4.72,-3.22,-1.27,2.25
2024-06-26,38.16,41.49,41.74,38.12,508693,2050299269.00,9.49,8.75,3.34,3.49
2024-06-27,41.21,40.74,41.73,40.68,410632,1708310958.00,2.53,-1.81,-0.75,2.82
2024-06-28,40.47,41.16,41.87,40.41,398837,1662575113.00,3.58,1.03,0.42,2.73
2024-07-01,41.11,41.09,41.45,39.95,349276,1436972100.00,3.64,-0.17,-0.07,2.39
2024-07-02,40.82,40.25,41.30,39.92,263648,1080910250.00,3.36,-2.04,-0.84,1.81
2024-07-03,40.22,39.67,40.29,39.09,228141,912153949.00,2.98,-1.44,-0.58,1.56
